prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
60182,5-12,0.65418566821134,Pickup & Caravan,blah,blahblah,City,AT,36.5878,0.3295158195422628,1.0,Easy,1.0,1.0
60138,5-12,0.6365938275352073,High-speed Chase,blah,blahblah,City,AT,36.5878,0.4468917227290068,0.891668149608153,Average,0.8293415805384022,0.8766954989747304
60165,5-12,0.6551582281929492,4 x 4 Response Unit,blah,blahblah,City,AT,36.5878,0.11737590318674407,0.9345358308985776,Very Easy,1.0,1.0
60108,5-12,0.6215286366644268,Fire Response Unit,blah,blahblah,City,AT,36.5878,0.35212770956023215,0.891668149608153,Average,0.7568041345824109,0.8294828004351504
60159,6-12,0.6647424979794118,Jungle Halftrack Mission,blah,blahblah,City,AT,36.5878,0.2725384072720801,0.9746358687061645,Easy,0.9600431217415245,0.9481920934663796
60183,5-12,0.6425292976040506,Heavy Cargo Transport,blah,blahblah,City,AT,36.5878,0.3295158195422628,0.9205726604783713,Easy,0.9394358849288731,0.9615546500799727
60172,5-12,0.6377309518958045,Dirt Road Pursuit,blah,blahblah,City,AT,36.5878,,0.9345358308985776,unknown,0.9183854479300276,0.906288469676671
60180,6-12,0.5888699093062917,Monster Truck,blah,blahblah,City,AT,24.3878,0.23475180637348814,1.0,Average,1.0,1.0
60150,5-12,0.6179866565416998,Pizza Van,blah,blahblah,City,AT,24.3878,0.6020542268143428,0.9481920934663796,Easy,0.9802254366484422,0.9746358687061645
60107,5-12,0.6010203691509701,Fire Ladder Truck,blah,blahblah,City,AT,24.3878,0.40605391075033276,0.9345358308985776,Easy,0.8968723271151999,0.8766954989747304
7895,5-12,0.23290948739046646,Switching Tracks,blah,blahblah,City,AT,24.3878,0.6519748832966822,0.891668149608153,Very Easy,0.8057547140443089,0.7958889470453636
60148,5-12,0.6133956127290491,ATV Race Team,blah,blahblah,City,AT,24.3878,0.42078821141275435,0.9615546500799727,Easy,0.9600431217415245,0.9481920934663796
60137,5-12,0.5566478522380062,Tow Truck Trouble,blah,blahblah,City,AT,24.3878,0.35212770956023215,0.9205726604783713,Easy,0.852373410105524,0.8613531161467861
60181,5-12,0.5778440514314447,Forest Tractor,blah,blahblah,City,AT,24.3878,0.3295158195422628,0.906288469676671,Easy,0.8748757251374245,0.891668149608153
60179,5-12,0.5876970631187363,Ambulance Helicopter,blah,blahblah,City,AT,24.3878,0.3034123082260103,0.891668149608153,Easy,0.7313791312204417,0.9615546500799727
10751,4-7,0.5314598595673309,Mountain Police Chase,blah,blahblah,Juniors,AT,24.3878,,0.9345358308985776,unknown,0.9183854479300276,0.906288469676671
60164,5-12,0.5542897485617049,Sea Rescue Plane,blah,blahblah,City,AT,24.3878,0.18603640503926622,0.906288469676671,Easy,0.852373410105524,0.9615546500799727
60158,6-12,0.594000842463482,Jungle Cargo Helicopter,blah,blahblah,City,AT,24.3878,0.2725384072720801,0.906288469676671,Average,0.8748757251374245,0.8294828004351504
7499,5-12,0.3559604219158253,Flexible and Straight Tracks,blah,blahblah,City,AT,21.9478,0.7600950602562738,0.6615419760941065,Easy,0.321542275571638,0.48989610240497816
60185,5-12,0.5425769893099026,Mining Power Splitter,blah,blahblah,City,AT,18.2878,0.0,1.0,Easy,1.0,1.0
60176,5-12,0.5416915634540529,Wild River Escape,blah,blahblah,City,AT,18.2878,0.0,1.0,Easy,1.0,0.8613531161467861
60157,5-12,0.5014876357101947,Jungle Starter Set,blah,blahblah,City,AT,12.1878,0.42078821141275435,0.9345358308985776,Easy,0.9802254366484422,0.9481920934663796
60163,5-12,0.48506719813631244,Coast Guard Starter Set,blah,blahblah,City,AT,12.1878,0.23475180637348814,0.9746358687061645,Very Easy,1.0,0.9345358308985776
7280,5-12,0.07763649579682215,Straight & Crossroad Plates,blah,blahblah,City,AT,12.1878,0.7523080500060938,0.8766954989747304,Very Easy,0.6508838561100401,0.5175155353929864
10750,4-7,0.480556288348555,Road Repair Truck,blah,blahblah,Juniors,AT,12.1878,,0.9345358308985776,unknown,0.9183854479300276,0.906288469676671
7281,5-12,0.07763649579682215,T-Junction & Curved Road Plates,blah,blahblah,City,AT,12.1878,0.6246661168323123,0.8766954989747304,Very Easy,0.7568041345824109,0.6397385131955605
60171,5-12,0.5014876357101947,Mountain Fugitives,blah,blahblah,City,AT,12.1878,0.11737590318674407,0.9345358308985776,unknown,1.0,0.906288469676671
60184,5-12,0.4935780594846102,Mining Team,blah,blahblah,City,AT,12.1878,0.11737590318674407,0.9345358308985776,Very Easy,1.0,0.8613531161467861
60178,5-12,0.4879766029460356,Speed Record Car,blah,blahblah,City,AT,12.1878,0.0,0.8613531161467861,Easy,1.0,0.8613531161467861
